site4g,txtenbid,txtgnbid,txtip5g,cell
VUBR00,521234,5251234,10.22.96.2,11+12+13+41+43
VUBR11,521212,5251212,10.22.96.6,11+12+13+41
VUBR20,521221,5251221,10.22.96.10,11+12+13+42+43
VUBR25,521226,5251226,10.22.96.14,11+12+13+14+15+16+41+43
VUBR36,521201,5251201,10.22.96.18,11+12+13+43
VUBR42,521655,5251655,10.22.96.22,11+12+13+14+17+18+19+43
VUCO10,520243,5250243,10.22.96.26,11+12+13+14
VUCO00,521501,5251501,10.22.96.30,11+12+13+14
VUVT49,521050,5251050,10.22.96.34,11+12+13+14+15+16+21+22+23+24+25+26
VUTT02,521353,5251353,10.22.96.38,11+12+13+15+16+17+18+19+41
VUTT03,521354,5251354,10.22.96.42,11+12+13+14+15+17+18+19+46
VUTT06,521357,5251357,10.22.96.46,11+12+13+14+15+17+18+19+42+44
VUTT08,521359,5251359,10.22.96.50,11+12+13+14+15+17+18+19+42
VUTT13,520150,5250150,10.22.96.54,11+12+13+41+42
VUTT19,521370,5251370,10.22.96.58,11+12+13+14+15+16+17+18+19
VUVTC2,520114,5250114,10.22.96.62,11+12+13+17+18+19+41
VUTT92,520832,5250832,10.22.96.66,11+12+13+14+21+22+23+45+46
VUVT00,521001,5251001,10.22.96.70,11+12+13+16+17+18+19
VUVT1A,521750,5251750,10.22.96.74,11+12+13+14+17+18+19+44
VULD08,521259,5251259,10.22.96.78,11+12+13
VUVT53,521054,5251054,10.22.96.82,11+12+13+18+19
VUVT63,521064,5251064,10.22.96.86,11+12+13+17+18+19+41+42+43
VUVT4C,521186,5251186,10.22.96.90,11+12+13+17+18+19+21+22+23
VUVT7C,521701,5251701,10.22.96.94,11+12+13+16+17+41+44+46
VUVT87,521087,5251087,10.22.96.98,11+12+13+14+17+18+19+42+43
VUVT9B,521608,5251608,10.22.96.102,11+12+13+17+18+19+21+22+23
VUCD14,521415,5251415,10.22.96.106,11+12+13+19+41+42+43
VUVTR2,521019,5251019,10.22.96.110,11+12+13+14+15+16+17+18+19
VULD02,521253,5251253,10.22.96.114,11+12+13+16
VUTT43,521393,5251393,10.22.96.118,11+12+13+16+17+18+19+41
VUVT73,521073,5251073,10.22.96.122,11+12+13+17+18+19
VUVT89,521089,5251089,10.22.96.126,11+12+13+17+18+19
VUTT05,521356,5251356,10.22.96.130,11+12+13+14+15+16+17+18+19
VUTT72,521611,5251611,10.22.96.134,11+12+13+15+16+17+18+19+43
VUXM11,521462,5251462,10.22.96.138,11+12+13+16+41+42+43+46
VUVT0C,521687,5251687,10.22.96.142,11+12+13+17+18+19+21+22+23
VUBR28,521511,5251511,10.22.96.146,11+12+13+14+17+18+19
VUXM05,521456,5251456,10.22.96.150,11+12+13+14+41+43
VUDD36,520211,5250211,10.22.96.154,11+12+13+14+15+16
VUDD24,521325,5251325,10.22.96.158,11+12+13+41+43
VUVTB9,520101,5250101,10.22.96.162,11+12+13+14+15+16
VUCD67,522683,5252683,10.22.96.166,11+12+13+41
VUVT1B,521751,5251751,10.22.96.170,11+12+13+14+15+16+17+18+19
VULD01,521252,5251252,10.22.96.174,11+12+13+41+43
VUTTA8,520010,5250010,10.22.96.178,11+12+13+41+42+43
DNCM44,560705,5650705,10.22.204.238,11+12+13
DNXL38,563389,5653389,10.22.204.242,11+12+13+21+22+23+43
DNTP05,563156,5653156,10.22.204.246,11+12+13+21+22+23
DNVC09,563310,5653310,10.22.204.250,11+12+13
DNLK35,563034,5653034,10.22.204.254,11+12+13
DNLK11,563012,5653012,10.22.76.2,11+12+13
DNDQ00,562951,5652951,10.22.76.6,11+12+13+43
DNLK05,560100,5650100,10.22.76.10,11+12+13
DNLK47,560971,5650971,10.22.76.14,11+12+13+17+18+19+41+42+43
DNTB02,563253,5653253,10.22.76.18,11+12+13+43
DNTB27,563278,5653278,10.22.76.22,11+12+13+41+43
PTPT60,553577,5553577,10.22.128.50,11+12+13
PTPT01,553502,5553502,10.22.128.54,11+12+13
LDDA02,574103,5754103,10.60.88.194,11+12+13+21+22+23+42
LDDA08,574109,5754109,10.60.88.198,11+12+13+14+15+16+41+42+43
NTPR25,594925,5954925,10.22.130.250,11+12+13
NTPR83,591139,5951139,10.22.130.254,11+12+13+21+22+23+41+42
