f4g,txtmrbts,txtlncel
1501,563371,11
1501,563371,12
1501,563371,13
1874,563371,41
1874,563371,43
1501,553774,11
1501,553774,12
1501,553774,13
1874,553774,41
1874,553774,43
1501,521325,11
1501,521325,12
1501,521325,13
1874,521325,41
1874,521325,43
1501,563224,11
1501,563224,12
1501,563224,13
1874,563224,41
1874,563224,43
1501,521711,11
1501,521711,12
1501,521711,13
1501,521711,15
50,521711,17
50,521711,18
50,521711,19
1874,521711,45
1501,521226,11
1501,521226,12
1501,521226,13
1501,521226,14
1501,521226,15
1501,521226,16
1874,521226,41
1874,521226,43
1501,521701,11
1501,521701,12
1501,521701,13
1501,521701,16
50,521701,17
1874,521701,41
1874,521701,44
1874,521701,46
1501,521450,11
1501,521450,12
1501,521450,13
1501,521450,15
1874,521450,42
1874,521450,45
1501,520207,11
1501,520207,21
1501,520207,22
1501,520207,23
1874,520207,41
1874,520207,43
1501,553857,11
1501,553857,12
1501,553857,13
1874,553857,41
